chinese_name,code_name,override_name_text_id,name_prefix_id,override_partner_skill_text_id,is_pal,tribe,bp_class,pictorial_id,zukan_index_suffix,size,rarity,element1,element2,genus_category,organization,weapon,weapon_equip,hp,melee_attack,remote_attack,defense,support,craft_speed,being_damage_multiplier,capture_probability,experience_multiplier,price,air_response,ai_sight_response,slow_walking_speed,walking_speed,running_speed,riding_sprint_speed,handling_speed,is_boss,is_tower_boss,battle_bgm,ignore_lean_back,ignore_blow_away,max_full_stomach,full_stomach_decrease_rate,food_amount,viewing_distance,viewing_angle,hearing_rate,noose_trap,nocturnal,biological_grade,predator,edible,endurance,male_probability,fecundity,breathing_fire,watering,planting,generate_electricity,manual,collection,logging,mining,oil_extraction_not_shown_in_game,pharmaceutical,cool_down,carry,pasture,passive_skill_1,passive_skill_2,passive_skill_3,passive_skill_4
Pipi Chicken,BOSS_ChickenPal,PAL_NAME_ChickenPal,BOSS_NAME_ChickenPal,PARTNERSKILL_ChickenPal,TRUE,EPalTribeID::ChickenPal,BOSS_ChickenPal,-1,,M,1,Normal,NULL,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,FALSE,60,70,60,60,100,100,40%,105%,10,1000,NotInterested,NULL,50,50,375,550,212,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,100,1,1,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,1500,0,0,0,0,0,1,0,0,0,0,0,0,1,NULL,NULL,NULL,None
Fried egg bird,BOSS_ColorfulBird,PAL_NAME_ColorfulBird,BOSS_NAME_ColorfulBird,PARTNERSKILL_ColorfulBird,TRUE,EPalTribeID::ColorfulBird,BOSS_ColorfulBird,-1,,XL,1,Normal,NULL,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,FALSE,60,80,75,70,100,100,40%,70%,10,1090,Boss,NULL,30,60,300,550,170,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,150,1,2,25,90,1,FALSE,FALSE,9,TRUE,TRUE,100,50,1340,0,0,0,0,0,1,0,0,0,0,0,0,0,NULL,NULL,NULL,None
Boba Cow,BOSS_CowPal,PAL_NAME_CowPal,BOSS_NAME_CowPal,PARTNERSKILL_CowPal,TRUE,EPalTribeID::CowPal,BOSS_CowPal,-1,,M,2,Normal,NULL,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,90,100,50,80,100,100,20%,70%,10,2620,NotInterested,NULL,55,55,580,700,317,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,225,1,3,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,20,910,0,0,0,0,0,0,0,0,0,0,0,0,1,NULL,NULL,NULL,None
幻悦蝶,BOSS_CuteButterfly,PAL_NAME_CuteButterfly,BOSS_NAME_CuteButterfly,PARTNERSKILL_CuteButterfly,TRUE,EPalTribeID::CuteButterfly,BOSS_CuteButterfly,-1,,XL,4,Leaf,NULL,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,FALSE,70,100,80,80,100,100,20%,70%,10,5700,NotInterested,NULL,30,150,550,700,350,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,225,1,3,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,490,0,0,2,0,0,0,0,0,0,1,0,0,0,NULL,NULL,NULL,None
玉藻狐,BOSS_CuteFox,PAL_NAME_CuteFox,BOSS_NAME_CuteFox,PARTNERSKILL_CuteFox,TRUE,EPalTribeID::CuteFox,BOSS_CuteFox,-1,,M,2,Normal,NULL,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,70,70,70,70,140,100,40%,91%,10,1000,NotInterested,NULL,30,60,350,450,190,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,100,1,1,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,1450,0,0,0,0,0,1,0,0,0,0,0,0,1,NULL,NULL,NULL,None
遁地鼠,BOSS_CuteMole,PAL_NAME_CuteMole,BOSS_NAME_CuteMole,PARTNERSKILL_CuteMole,TRUE,EPalTribeID::CuteMole,BOSS_CuteMole,-1,,M,1,Earth,NULL,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,65,100,80,50,100,100,40%,70%,10,1360,NotInterested,NULL,30,60,300,550,240,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,150,1,2,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,1220,0,0,0,0,1,0,0,1,0,0,0,1,0,NULL,NULL,NULL,None
黑鸦隐士,BOSS_DarkCrow,PAL_NAME_DarkCrow,BOSS_NAME_DarkCrow,PARTNERSKILL_DarkCrow,TRUE,EPalTribeID::DarkCrow,BOSS_DarkCrow,-1,,XL,3,Dark,NULL,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,FALSE,75,80,95,80,100,100,20%,70%,10,1840,Boss,NULL,85,170,920,1200,545,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,350,1,5,25,90,1,FALSE,TRUE,9,TRUE,TRUE,100,50,1080,0,0,0,0,0,0,1,0,0,0,0,0,0,NULL,NULL,NULL,None
does not appear in the game,BOSS_DarkMutant,PAL_NAME_DarkMutant,BOSS_NAME_DarkMutant,PARTNERSKILL_DarkMutant,TRUE,EPalTribeID::DarkMutant,BOSS_DarkMutant,-1,,XL,5,Dark,NULL,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,100,100,100,100,100,100,20%,70%,10,3960,Boss,NULL,100,150,550,700,350,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,525,1,8,25,90,1,FALSE,TRUE,9,FALSE,TRUE,100,50,0,0,0,0,0,3,0,0,0,0,3,0,2,0,NULL,NULL,NULL,None
冥铠蝎,BOSS_DarkScorpion,PAL_NAME_DarkScorpion,BOSS_NAME_DarkScorpion,PARTNERSKILL_DarkScorpion,TRUE,EPalTribeID::DarkScorpion,BOSS_DarkScorpion,-1,,XL,9,Dark,Earth,EPalGenusCategoryType::Other,EPalOrganizationType::None,EPalWeaponType::None,FALSE,100,100,100,130,100,100,20%,70%,10,7050,Boss,NULL,100,200,1000,1200,600,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,475,1,7,25,90,1,FALSE,TRUE,9,TRUE,TRUE,100,50,260,0,0,0,0,0,0,2,3,0,0,0,0,0,NULL,NULL,NULL,None
紫霞鹿,BOSS_Deer,PAL_NAME_Deer,BOSS_NAME_Deer,PARTNERSKILL_Deer,TRUE,EPalTribeID::Deer,BOSS_Deer,-1,,XL,4,Normal,NULL,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,95,70,80,80,100,100,40%,70%,10,2620,Boss,NULL,80,120,700,1000,390,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,350,1,5,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,920,0,0,0,0,0,0,2,0,0,0,0,0,0,NULL,NULL,NULL,None
祇岳鹿,BOSS_Deer_Ground,PAL_NAME_Deer_Ground,BOSS_NAME_Deer_Ground,PARTNERSKILL_Deer_Ground,TRUE,EPalTribeID::Deer_Ground,BOSS_Deer_Ground,-1,,XL,6,Earth,NULL,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,95,70,80,80,100,100,20%,70%,10,2680,Boss,NULL,80,120,700,1000,390,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,350,1,5,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,900,0,0,0,0,0,0,2,0,0,0,0,0,0,NULL,NULL,NULL,None
寐魔,BOSS_DreamDemon,PAL_NAME_DreamDemon,BOSS_NAME_DreamDemon,PARTNERSKILL_DreamDemon,TRUE,EPalTribeID::DreamDemon,BOSS_DreamDemon,-1,,XL,1,Dark,NULL,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,70,100,75,60,100,100,40%,70%,10,1330,NotInterested,NULL,70,140,300,550,220,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,225,1,3,25,90,1,FALSE,TRUE,9,FALSE,TRUE,100,50,1230,0,0,0,0,1,1,0,0,0,0,0,1,0,NULL,NULL,NULL,None
碎岩龟,BOSS_DrillGame,PAL_NAME_DrillGame,BOSS_NAME_DrillGame,PARTNERSKILL_DrillGame,TRUE,EPalTribeID::DrillGame,BOSS_DrillGame,-1,,XL,5,Earth,NULL,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,80,80,95,120,100,100,20%,70%,10,2980,Boss,NULL,75,120,300,420,190,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,350,1,5,25,90,1,FALSE,FALSE,9,TRUE,TRUE,100,50,850,0,0,0,0,0,0,0,3,0,0,0,0,0,Deffence_up1,NULL,NULL,None
天擒鸟,BOSS_Eagle,PAL_NAME_Eagle,BOSS_NAME_Eagle,PARTNERSKILL_Eagle,TRUE,EPalTribeID::Eagle,BOSS_Eagle,-1,,XL,2,Normal,NULL,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,FALSE,75,120,85,60,100,100,20%,70%,10,2010,Boss,NULL,100,200,600,700,400,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,300,1,4,25,90,1,FALSE,FALSE,9,TRUE,TRUE,100,50,1030,0,0,0,0,0,2,0,0,0,0,0,0,0,NULL,NULL,NULL,None
伏特喵,BOSS_ElecCat,PAL_NAME_ElecCat,BOSS_NAME_ElecCat,PARTNERSKILL_ElecCat,TRUE,EPalTribeID::ElecCat,BOSS_ElecCat,-1,,S,1,Electricity,NULL,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,60,60,80,70,80,100,40%,77%,10,1030,NotInterested,NULL,40,80,350,500,270,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,150,1,2,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,1410,0,0,0,1,1,0,0,0,0,0,0,1,0,NULL,NULL,NULL,None
does not appear in the game,BOSS_ElecLion,PAL_NAME_ElecLion,BOSS_NAME_ElecLion,PARTNERSKILL_ElecLion,TRUE,EPalTribeID::ElecLion,BOSS_ElecLion,-1,,XL,0,Electricity,NULL,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,100,100,110,70,100,100,20%,70%,10,4200,Boss,NULL,85,85,800,1000,442,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,350,1,5,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,None
暴电熊,BOSS_ElecPanda,PAL_NAME_ElecPanda,BOSS_NAME_ElecPanda,PARTNERSKILL_ElecPanda,TRUE,EPalTribeID::ElecPanda,BOSS_ElecPanda,-1,,XL,8,Electricity,NULL,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,105,120,100,100,100,100,20%,70%,10,7720,Boss,NULL,80,140,470,650,210,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,475,1,7,25,90,1,FALSE,FALSE,9,TRUE,TRUE,100,50,200,0,0,0,3,2,0,2,0,0,0,0,3,0,NULL,NULL,NULL,None
精灵龙,BOSS_FairyDragon,PAL_NAME_FairyDragon,BOSS_NAME_FairyDragon,PARTNERSKILL_FairyDragon,TRUE,EPalTribeID::FairyDragon,BOSS_FairyDragon,-1,,XL,7,Dragon,NULL,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,110,80,80,90,100,100,20%,70%,10,5230,Boss,NULL,83,83,630,900,456,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,400,1,6,25,90,1,FALSE,FALSE,9,FALSE,TRUE,130,50,540,0,0,0,0,0,0,2,0,0,0,0,0,0,NULL,NULL,NULL,None
水灵龙,BOSS_FairyDragon_Water,PAL_NAME_FairyDragon_Water,BOSS_NAME_FairyDragon_Water,PARTNERSKILL_FairyDragon_Water,TRUE,EPalTribeID::FairyDragon_Water,BOSS_FairyDragon_Water,-1,,XL,8,Dragon,Water,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,115,80,80,95,100,100,20%,70%,10,5320,Boss,NULL,83,83,630,900,456,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,400,1,6,25,90,1,FALSE,FALSE,9,FALSE,TRUE,130,50,530,0,3,0,0,0,0,2,0,0,0,0,0,0,NULL,NULL,NULL,None
does not appear in the game,BOSS_FeatherOstrich,PAL_NAME_FeatherOstrich,BOSS_NAME_FeatherOstrich,PARTNERSKILL_FeatherOstrich,TRUE,EPalTribeID::FeatherOstrich,BOSS_FeatherOstrich,-1,,XL,0,Earth,NULL,EPalGenusCategoryType::Other,EPalOrganizationType::None,EPalWeaponType::None,FALSE,100,100,100,100,100,100,20%,70%,10,4610,Boss,NULL,-1,-1,-1,-1,-1,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,300,1,4,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NULL,NULL,NULL,None
云海鹿,BOSS_FengyunDeeper,PAL_NAME_FengyunDeeper,BOSS_NAME_FengyunDeeper,PARTNERSKILL_FengyunDeeper,TRUE,EPalTribeID::FengyunDeeper,BOSS_FengyunDeeper,-1,,XL,3,Normal,NULL,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,110,110,110,90,100,100,20%,70%,10,2250,Boss,NULL,85,100,750,1150,417,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,400,1,6,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,980,0,0,0,0,0,0,2,0,0,0,0,0,0,NULL,NULL,NULL,None
火麒麟,BOSS_FireKirin,PAL_NAME_FireKirin,BOSS_NAME_FireKirin,PARTNERSKILL_FireKirin,TRUE,EPalTribeID::FireKirin,BOSS_FireKirin,-1,,XL,6,Fire,NULL,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,100,110,95,90,100,100,20%,70%,10,6720,Boss,NULL,100,150,850,1400,500,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,350,1,5,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,360,2,0,0,0,0,0,1,0,0,0,0,0,0,NULL,NULL,NULL,None
邪麒麟,BOSS_FireKirin_Dark,PAL_NAME_FireKirin_Dark,BOSS_NAME_FireKirin_Dark,PARTNERSKILL_FireKirin_Dark,TRUE,EPalTribeID::FireKirin_Dark,BOSS_FireKirin_Dark,-1,,XL,7,Fire,Dark,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,100,110,95,90,100,100,20%,70%,10,7270,Boss,NULL,100,150,850,1400,500,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,350,1,5,25,90,1,FALSE,TRUE,9,FALSE,TRUE,100,50,240,2,0,0,0,0,0,1,0,0,0,0,0,0,NULL,NULL,NULL,None
燎火鹿,BOSS_FlameBambi,PAL_NAME_FlameBambi,BOSS_NAME_FlameBambi,PARTNERSKILL_FlameBambi,TRUE,EPalTribeID::FlameBambi,BOSS_FlameBambi,-1,,S,2,Fire,NULL,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,75,100,70,75,100,100,40%,77%,10,2950,NotInterested,NULL,70,100,400,550,-1,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,225,1,3,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,1155,1,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,None
炽焰牛,BOSS_FlameBuffalo,PAL_NAME_FlameBuffalo,BOSS_NAME_FlameBuffalo,PARTNERSKILL_FlameBuffalo,TRUE,EPalTribeID::FlameBuffalo,BOSS_FlameBuffalo,-1,,XL,4,Fire,NULL,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,85,100,95,95,100,100,20%,70%,10,3520,Boss,NULL,87,87,600,900,343,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,350,1,5,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,790,2,0,0,0,0,0,1,0,0,0,0,0,0,NULL,NULL,NULL,None
花冠龙,BOSS_FlowerDinosaur,PAL_NAME_FlowerDinosaur,BOSS_NAME_FlowerDinosaur,PARTNERSKILL_FlowerDinosaur,TRUE,EPalTribeID::FlowerDinosaur,BOSS_FlowerDinosaur,-1,,XL,6,Leaf,Dragon,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,110,90,85,90,150,100,40%,70%,10,3240,NotInterested,NULL,70,120,550,800,335,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,400,1,6,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,820,0,0,2,0,0,0,2,0,0,0,0,0,0,NULL,NULL,NULL,None
雷冠龙,BOSS_FlowerDinosaur_Electric,PAL_NAME_FlowerDinosaur_Electric,BOSS_NAME_FlowerDinosaur_Electric,PARTNERSKILL_FlowerDinosaur_Electric,TRUE,EPalTribeID::FlowerDinosaur_Electric,BOSS_FlowerDinosaur_Electric,-1,,XL,7,Electricity,Dragon,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,110,90,90,90,150,100,20%,70%,10,3380,NotInterested,NULL,70,120,550,800,335,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,400,1,6,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,810,0,0,0,2,0,0,2,0,0,0,0,0,0,NULL,NULL,NULL,None
花丽娜,BOSS_FlowerDoll,PAL_NAME_FlowerDoll,BOSS_NAME_FlowerDoll,PARTNERSKILL_FlowerDoll,TRUE,EPalTribeID::FlowerDoll,BOSS_FlowerDoll,-1,,XL,8,Leaf,NULL,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,100,100,95,100,100,100,20%,70%,10,3590,NotInterested,NULL,100,150,550,700,350,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,225,1,3,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,780,0,0,3,0,2,2,0,0,0,2,0,1,0,NULL,NULL,NULL,None
波娜兔,BOSS_FlowerRabbit,PAL_NAME_FlowerRabbit,BOSS_NAME_FlowerRabbit,PARTNERSKILL_FlowerRabbit,TRUE,EPalTribeID::FlowerRabbit,BOSS_FlowerRabbit,-1,,M,1,Leaf,NULL,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,75,100,65,70,100,100,20%,70%,10,1220,NotInterested,NULL,100,100,400,550,250,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,225,1,3,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,1280,0,0,1,0,1,1,0,0,0,1,0,1,0,NULL,NULL,NULL,None
鲁米儿,BOSS_FlyingManta,PAL_NAME_FlyingManta,BOSS_NAME_FlyingManta,PARTNERSKILL_FlyingManta,TRUE,EPalTribeID::FlyingManta,BOSS_FlyingManta,-1,,XL,3,Water,NULL,EPalGenusCategoryType::Other,EPalOrganizationType::None,EPalWeaponType::None,FALSE,80,100,70,80,100,100,40%,77%,10,2860,NotInterested,NULL,30,150,550,700,350,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,225,1,3,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,870,0,1,0,0,0,0,0,0,0,0,0,1,0,NULL,NULL,NULL,None
焰巫狐,BOSS_FoxMage,PAL_NAME_FoxMage,BOSS_NAME_FoxMage,PARTNERSKILL_FoxMage,TRUE,EPalTribeID::FoxMage,BOSS_FoxMage,-1,,XL,6,Fire,NULL,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,FALSE,90,50,110,80,120,100,20%,70%,10,1540,Boss,NULL,70,145,440,620,292,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,350,1,5,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,1160,2,0,0,0,3,0,0,0,0,0,0,2,0,NULL,NULL,NULL,None
壶小象,BOSS_Ganesha,PAL_NAME_Ganesha,BOSS_NAME_Ganesha,PARTNERSKILL_Ganesha,TRUE,EPalTribeID::Ganesha,BOSS_Ganesha,-1,,XL,1,Water,NULL,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,70,70,60,70,100,100,40%,91%,10,1000,NotInterested,NULL,30,60,300,400,180,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,150,1,2,25,90,1,FALSE,FALSE,9,FALSE,TRUE,100,50,1490,0,1,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,None
猎狼,BOSS_Garm,PAL_NAME_Garm,BOSS_NAME_Garm,PARTNERSKILL_Garm,TRUE,EPalTribeID::Garm,BOSS_Garm,-1,,M,2,Normal,NULL,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,80,110,90,75,100,100,40%,70%,10,1920,Boss,NULL,90,180,800,1050,460,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,225,1,3,25,90,1,FALSE,FALSE,9,TRUE,TRUE,70,50,1060,0,0,0,0,0,1,0,0,0,0,0,0,0,NULL,NULL,NULL,None
噬魂兽,BOSS_GhostBeast,PAL_NAME_GhostBeast,BOSS_NAME_GhostBeast,PARTNERSKILL_GhostBeast,TRUE,EPalTribeID::GhostBeast,BOSS_GhostBeast,-1,,XL,6,Dark,NULL,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,75,50,105,80,100,100,20%,70%,10,1570,Boss,NULL,100,160,600,900,365,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,225,1,3,25,90,1,FALSE,TRUE,9,TRUE,TRUE,100,50,1150,0,0,0,0,0,2,0,1,0,0,0,0,0,NULL,NULL,NULL,None
does not appear in the game,BOSS_GoldenHorse,PAL_NAME_GoldenHorse,BOSS_NAME_GoldenHorse,PARTNERSKILL_GoldenHorse,TRUE,EPalTribeID::GoldenHorse,BOSS_GoldenHorse,-1,,XL,0,Earth,NULL,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,FALSE,100,100,100,100,100,100,20%,70%,10,7960,Boss,NULL,-1,-1,-1,-1,-1,TRUE,FALSE,EPalBattleBGMType::FieldBoss,FALSE,FALSE,475,1,7,25,90,1,FALSE,FALSE,0,FALSE,TRUE,100,50,0,0,0,0,0,0,2,0,0,3,0,0,0,0,NULL,NULL,NULL,None
